id,nama,kategori,foto
CCTV HIK,CCTV HIKVISION,CCTV,img\brand\HIKVISION LOGO.png
CCTV DAHUA,CCTV DAHUA,CCTV,img\brand\DAHUA LOGO.png
CCTV EZVIZ,CCTV EZVIZ,CCTV,img\brand\EZVIZ LOGO.png
LAPTOP ASUS,LAPTOP ASUS,LAPTOP,img\brand\ASUS LOGO.png
LAPTOP ACER,LAPTOP ACER,LAPTOP,img\brand\ACER LOGO.png
LAPTOP AXIOO,LAPTOP AXIOO,LAPTOP,img\brand\AXIOO LOGO.png
LAPTOP LENOVO,LAPTOP LENOVO,LAPTOP,img\brand\LENOVO LOGO.png
EPSON,EPSON,PRINTER,img\brand\EPSON LOGO.png
CANON,CANON,PRINTER,img\brand\CANON LOGO.png
INTEL ,INTEL,PROCESSOR,img\brand\INTEL LOGO.png
AMD,AMD,PROCESSOR,img\brand\AMD LOGO.png
SAMSUNG,SAMSUNG,SMARTPHONE,img\brand\SAMSUNG LOGO.png
REALME,REALME,SMARTPHONE,img\brand\REALME LOGO.png
OPPO,OPPO,SMARTPHONE,img\brand\OPPO LOGO.png
VIVO,VIVO,SMARTPHONE,img\brand\VIVO LOGO.png
XIAOMI,XIAOMI,SMARTPHONE,img\brand\XIAOMI LOGO.png
TECNO,TECNO,SMARTPHONE,img\brand\TECNO LOGO.png
CORSAIR ,CORSAIR,RAM,img\brand\CORSAIR LOGO.png
RAM VGEN,RAM VGEN ,RAM,img\brand\VGEN LOGO.png
SEAGATE,SEAGATE,HARDDISK,img\brand\SEAGATE LOGO.png
WESTERN DIGITAL,WESTERN DIGITAL,HARDDISK,img\brand\WD LOGO.png
SSD VGEN PLATINUM,SSD VGEN PLATINUM,SSD,img\brand\VGEN LOGO.png
SSD VGEN RESCUE,SSD VGEN RESCUE,SSD,img\brand\VGEN LOGO.png
SSD VGEN PORTABLE,SSD VGEN PORTABLE,SSD,img\brand\VGEN LOGO.png
ADATA,ADATA,SSD,img\brand\ADATA LOGO.png
YUASA,YUASA,BATERAI UPS,img\brand\YUASA LOGO.png
CUBE GAMING,CUBE GAMING,POWER SUPPLY,img\brand\CUBE GAMIN GLOGO.jfif
CORSAIR ,CORSAIR,POWER SUPPLY,img\brand\CORSAIR LOGO.png
PNY,PNY,POWER SUPPLY,img\brand\PNY LOGO.png
MSI,MSI,MOTHERBOARD,img\brand\MSI LOGO.png
GIGABYTE,GIGABYTE,MOTHERBOARD,img\brand\GIGABYTE LOGO.png
ASUS,ASUS,MOTHERBOARD,img\brand\ASUS LOGO.png
ENLIGHT,ENLIGHT,POWER SUPPLY,img\brand\ENLIGHT LOGO.png
ASROCK ,ASROCK,MOTHERBOARD,img\brand\ASROCK LOGO.png
ECS,ECS,MOTHERBOARD,img\brand\ECS LOGO.png
FLASHDISK VGEN,FLASHDISK VGEN,AKSESORIES ,img\brand\VGEN LOGO.png
